Date,"Main Page"
2018-11-20,16646677
2018-11-21,15808642
2018-11-22,15261221
2018-11-23,14039012
2018-11-24,15748725
2018-11-25,13253689
2018-11-26,17265643
2018-11-27,16412835
2018-11-28,17079874
2018-11-29,15419487
2018-11-30,13473789
2018-12-01,16269313
2018-12-02,16374525
2018-12-03,18878261
2018-12-04,16955103
2018-12-05,17434296
2018-12-06,17264732
2018-12-07,15655476
2018-12-08,16572228
2018-12-09,16187649
2018-12-10,18946847
2018-12-11,17707080
2018-12-12,16884572
2018-12-13,15446322
2018-12-14,14640903
2018-12-15,16032729
2018-12-16,15938708
2018-12-17,18447120
2018-12-18,16859230
2018-12-19,16529561
